Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,99,70,41
4,291,92,43
5,127,153,155
6,148,191,993
7,606,213,212
8,329,316,271
9,317,1067,303
10,599,431,373
11,484,417,1200
12,505,857,2161
13,996,597,1350
14,710,659,1455
15,804,1726,1464
16,2390,779,1789
17,822,777,1224
18,1143,801,1152
19,904,932,932
20,2752,3415,2065
21,906,918,1530
22,987,962,994
23,1003,999,1028
24,1131,1024,1099
25,1143,1103,1157
26,1130,1199,1199
27,1212,1219,1200
28,1299,1299,1247
29,3118,1350,2543
30,1376,1337,1360
31,1406,1386,1398
32,1415,1427,1414
33,1451,1437,1449
34,1501,1599,1500
35,1561,1548,1622
36,2844,1700,11287
37,1787,1714,1699
38,1723,1723,1800
39,1800,1845,1793
40,1849,1928,2326
41,1928,2094,2015
42,1999,1924,2028
43,2013,2099,2093
44,2060,2111,2111
45,2100,2250,2126
46,2944,5234,2262
47,3628,3912,3328
48,8410,4674,17096
49,8660,9430,9983
50,4240,2399,8511
51,2760,4193,6503
52,10254,2589,2635
53,4536,4086,10459
54,2695,3007,3849
55,6767,2861,2710
56,4766,4026,4126
57,3298,2798,7520
58,2959,2922,3000
59,3113,2981,2887
60,3009,4104,4019
61,8449,3318,3128
62,18622,6878,3215
63,6623,7912,5894
64,3205,7182,7072
65,7530,10878,16186
66,5672,9498,7948
67,25228,6343,6405
68,5099,5904,7841
69,21508,7243,6841
70,11233,3587,3600
71,3699,3776,4643
72,6731,11431,3668
73,4933,27581,5028
74,3675,4070,4933
75,7728,28386,5149
76,9032,4529,4039
77,5500,4821,9615
78,17021,4295,8268
79,5548,4343,4786
80,4201,13328,5210
81,4291,7090,7550
82,4429,4713,4312
83,5531,6691,4988
84,5119,5602,10979
85,8779,4666,10625
86,5115,11333,4679
87,10935,4904,21022
88,4700,4500,4501
89,4706,4718,4704
90,4609,5593,9420
91,14727,7306,6136
92,13255,25113,8078
93,6252,9420,4965
94,9819,11451,5697
95,8002,15899,8728
96,10054,6892,21772
97,6799,5322,17022
98,10975,9235,8959
99,5110,6729,9731
100,7146,12667,6991
101,5225,8878,9018
102,14551,6682,5986
103,10656,18788,5326
104,14594,15856,5549
105,14623,12316,13132
106,15716,14664,11919
107,6775,6427,5566
108,17662,12136,6471
109,17494,11103,13451
110,6819,10952,7176
111,16155,7214,7955
112,8681,5800,9481
113,5796,6753,6041
114,7057,7611,23833
115,6893,19584,9150
116,12650,6882,6996
117,9742,6020,6227
118,6807,15802,14616
119,7714,8675,7108
120,9539,7269,19504
121,17920,6500,7534
122,6500,6495,6499
123,6319,6666,6754
124,9840,21386,27349
125,7983,16421,9900
126,6701,6792,6715
127,6570,10544,15352
128,20863,11087,11207
129,6800,26738,6699
130,6976,6950,7184
131,11588,11915,18027
132,30025,12655,22490
133,7628,7106,8651
134,7130,13713,7135
135,32712,17321,7716
136,9250,21085,16546
137,7393,7323,7114
138,7102,14917,28508
139,14966,17253,18700
140,7933,13469,8190
141,11996,21010,11350
142,18198,8973,23918
143,7446,7754,7703
144,8453,16664,12931
145,16178,16650,8906
146,7849,14035,32309
147,14033,20835,12938
148,9366,8676,8530
149,8096,10811,7787
150,17148,19153,11103
151,14452,7631,8201
152,9253,9247,27157
153,13311,20196,29098
154,13634,14443,11271
155,8821,17106,15784
156,8578,19512,8901
157,12928,19410,20696
158,8611,8626,15649
159,24281,15933,20338
160,21754,8741,8798
161,31376,25287,16389
162,18958,8959,8835
163,14340,19742,17824
164,8999,8787,8993
165,14852,22522,21028
166,33620,30230,25321
167,21067,9124,18156
168,18825,10517,26102
169,16349,12665,8915
170,11338,10964,28598
171,9308,11755,9405
172,14884,9169,24820
173,9187,10173,9328
174,18586,9919,27630
175,16313,9262,24924
176,10020,20585,11406
177,9750,24408,16372
178,14877,9499,9464
179,32207,9556,10281
180,15639,17189,27616
181,9997,9613,9962
182,13716,9715,9652
183,16233,27026,14158
184,15586,10198,19598
185,10302,15122,10338
186,10258,17322,9893
187,9934,21643,20308
188,9737,10507,21737
189,17220,10455,10083
190,17101,10499,10424
191,20152,10569,10534
192,10250,16761,10675
193,10278,10348,10648
194,10713,10707,10700
195,10832,10795,10725
196,10840,24075,10938
197,17774,10608,39972
198,10999,10551,70447
199,10650,35577,25128
200,11103,20938,25850
201,11200,11156,10999
202,28518,19780,18191
203,18783,32730,19997
204,30983,11416,23923
205,30383,33342,11667
206,11197,11462,42375
207,11631,11208,11534
208,18645,11622,29730
209,15738,21905,11711
210,11789,11753,36354
211,11822,14611,15312
212,29155,11901,11674
213,17905,21598,12006
214,11574,11566,27742
215,12054,11649,18880
216,27804,11769,11792
217,19656,23521,11764
218,12254,12301,11813
219,12368,12318,35750
220,12404,12526,11990
221,33994,12561,12096
222,12210,13331,31234
223,23251,24716,30885
224,18690,41576,12644
225,12689,12257,12723
226,17680,38276,12771
227,30419,12806,12319
228,12876,12413,12484
229,14861,12918,12508
230,13993,18163,12809
231,13024,12650,22446
232,23499,14725,12603
233,13187,15487,26530
234,13253,13190,29338
235,13320,12805,13377
236,13776,13390,31750
237,28927,29151,12929
238,35286,13735,20199
239,13489,13503,13498
240,30917,31322,13626
241,13738,13618,26886
242,13693,13723,13199
243,31526,13762,23668
244,14427,14401,14075
245,35927,36717,14651
246,13478,14046,30434
247,29939,13699,16906
248,30260,14418,14126
249,13707,19353,13710
250,13738,13759,15117
251,14296,26114,14394
252,13837,14399,14355
253,14442,22775,13909
254,14534,14412,14406
255,18801,13993,14553
256,14079,14616,26634
257,26698,14821,14596
258,14651,14649,22526
259,14284,14260,14767
260,15112,15091,24955
261,26022,14854,27426
262,43622,14495,14363
263,15020,14503,16873
264,39277,25803,15218
265,33137,16472,29338
266,15273,14876,15156
267,15305,15470,15374
268,15414,26063,14921
269,30742,37755,16231
270,15498,18781,14836
271,40725,38696,15438
272,15616,15626,15010
273,15721,15183,16154
274,29366,24680,15764
275,15878,15781,21549
276,28638,16181,15435
277,16031,21098,18550
278,16157,16161,32091
279,39918,16089,16100
280,15729,32745,16252
281,15731,16238,19375
282,22336,16273,21325
283,15848,26846,16262
284,16509,15279,16444
285,16507,16478,44551
286,26481,16510,16478
287,15900,35463,43324
288,16621,16750,22740
289,16092,24110,23452
290,71477,16133,16126
291,16751,29465,16199
292,16996,16912,21715
293,16952,29300,30365
294,45662,16394,16984
295,27888,27506,16481
296,16772,31104,43680
297,16599,17658,17344
298,41756,17264,30082
299,17631,29473,17556
300,36940,16830,17501
301,17506,36965,41505
302,17577,17555,33867
303,17124,17584,35004
304,17693,36933,17062
305,43521,17627,17763
306,32964,17675,17375
307,26295,47351,17800
308,17983,17927,19575
309,17340,17273,43727
310,17549,18088,24305
311,46776,18020,18704
312,18223,32802,18201
313,17551,24325,17630
314,18373,44093,18426
315,30255,45076,56555
316,17886,45207,17823
317,18439,45266,19196
318,18451,18501,17875
319,24003,54033,39308
320,17990,22583,18019
321,32077,33260,38215
322,26369,36663,18767
323,51804,35118,38414
324,31575,18913,31076
325,33302,25390,19113
326,45188,18331,31856
327,36585,48583,54750
328,18628,18591,40381
329,28041,41737,22412
330,43437,54777,19302
331,33347,20512,40482
332,35522,22316,45455
333,19871,19441,20277
334,19543,33677,31914
335,45206,18831,20343
336,19693,49418,19675
337,21748,19725,19657
338,18993,19704,19726
339,19960,38571,20571
340,19864,20017,20375
341,51330,35670,19982
342,34934,39513,36594
343,43809,35981,19465
344,43761,20237,57770
345,20303,19549,20304
346,20401,42903,46579
347,19707,32937,47639
348,20469,24628,19733
349,20484,22194,21776
350,43852,20613,19779
351,20753,49115,20596
352,42500,19972,46280
353,20662,20749,40099
354,27068,50279,33504
355,20825,20849,43339
356,21072,20209,42346
357,37970,21079,34779
358,55252,20258,20386
359,37508,56901,49938
360,46173,20470,36076
361,70961,27871,34797
362,20500,44274,21233
363,45838,20574,20519
364,46253,21386,36443
365,37936,52660,31054
366,138126,21534,57714
367,37415,21527,21482
368,21594,20846,43877
369,21593,46226,21064
370,21768,47799,21606
371,27321,24900,44408
372,21803,22172,50636
373,21831,21115,48844
374,45309,32192,22033
375,52202,21233,28714
376,21286,42429,22193
377,22201,22258,21415
378,21973,24109,24684
379,23760,48741,24996
380,48589,22638,22438
381,42498,22412,40514
382,22529,38589,49593
383,22490,21694,21703
384,21994,21741,38242
385,22641,28955,43318
386,37709,21855,22985
387,22799,22186,48812
388,22835,56427,35282
389,35329,22875,41616
390,22907,52801,36498
391,22942,22233,23056
392,23101,44111,37394
393,28996,30924,23164
394,38590,23521,23158
395,23521,48071,54470
396,23551,23390,49362
397,23392,48879,54840
398,23539,23382,23446
399,23409,23478,47079
400,25417,23607,22743
401,34878,23558,23889
402,23670,37801,52086
403,24599,26620,23633
404,39017,63028,57654
405,47634,40429,56095
406,24770,22207,23928
407,23159,23114,23172
408,24108,23688,24027
409,23301,57951,23245
410,71032,24246,67050
411,24772,71601,24252
412,24380,43760,24422
413,24327,24367,55144
414,23445,23736,48379
415,23540,34423,53205
416,44304,42423,65261
417,45227,54851,50711
418,46429,24692,23852
419,24678,57324,24748
420,38344,24774,24788
421,27966,39156,37309
422,30681,39725,40468
423,60655,38408,24874
424,25327,25008,24068
425,35740,28378,52466
426,25289,25232,25021
427,35533,25345,25602
428,32035,25258,24324
429,25160,35792,40133
430,71732,25232,25292
431,25217,69623,25275
432,26986,39889,58338
433,24553,25683,24699
434,58942,39120,25511
435,53194,26029,36441
436,25559,41632,25525
437,63489,24772,77358
438,52917,53390,49653
439,25734,25979,25466
440,25919,41402,60519
441,54053,25800,26842
442,24945,26343,24967
443,25972,45488,25084
444,25153,68895,81228
445,27029,25185,26101
446,37293,26254,68827
447,26218,66990,25304
448,59855,26461,26257
449,25291,25338,26517
450,33201,61530,25305
451,65083,31137,46940
452,73250,55932,58497
453,68236,26414,53923
454,28384,25563,25514
455,26940,29755,25836
456,26763,56567,42628
457,28960,65049,54274
458,44371,74770,57093
459,61350,66954,62671
460,59898,74993,49331
461,30801,27019,26218
462,27069,26403,27086
463,27166,41776,26124
464,26318,31483,27362
465,37843,27448,39488
466,27297,27291,28875
467,27304,28052,25506
468,26650,32784,26790
469,49919,58133,45007
470,43677,58467,27700
471,49513,26701,26660
472,30397,56346,57137
473,27744,36081,29813
474,27971,52916,52831
475,37042,77775,28037
476,38833,40508,56030
477,52879,49172,79685
478,66764,28165,275507
479,28134,63585,28117
480,27195,28242,64252
481,61678,27677,76839
482,54806,51655,28598
483,53989,59415,51622
484,27525,63286,66716
485,54487,28507,34465
486,43693,86759,73877
487,50279,58643,61372
488,45093,28710,29044
489,28893,28769,30188
490,47405,27813,51506
491,61231,64898,27943
492,52416,27887,29823
493,51558,28165,63269
494,67696,30615,27931
495,64736,57619,32222
496,36353,28110,29151
497,34730,59903,32030
498,59049,30731,29120
499,32301,70030,56977
500,28362,28558,28531
501,30513,29424,28242
502,29434,28468,29543
