Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,100,21,73
4,48,35,41
5,99,33,99
6,109,85,100
7,83,42,71
8,48,84,49
9,99,99,74
10,49,93,87
11,87,49,74
12,99,99,99
13,100,145,100
14,122,104,151
15,187,110,199
16,293,256,100
17,327,106,100
18,185,193,121
19,506,142,187
20,187,168,195
21,225,200,199
22,209,200,337
23,384,201,225
24,246,299,249
25,200,312,249
26,249,264,1510
27,535,293,275
28,1690,400,493
29,312,476,353
30,639,305,465
31,400,414,493
32,574,524,1824
33,425,17197,491
34,527,735,611
35,2849,3272,710
36,564,521,502
37,744,600,588
38,600,613,599
39,6221,623,642
40,1022,512,559
41,528,918,578
42,600,599,562
43,2576,2770,598
44,815,1194,600
45,709,3781,14450
46,883,806,699
47,2422,1001,712
48,1100,8858,1057
49,740,740,14054
50,791,1080,800
51,852,4550,2147
52,840,1297,4476
53,900,900,900
54,1317,2362,983
55,1000,2918,942
56,1037,2962,1000
57,1078,1007,1039
58,1012,1140,2231
59,6864,1728,1123
60,1720,1138,1119
61,1344,1855,1700
62,1293,4750,3125
63,9750,3232,2156
64,1549,3494,2348
65,1721,1419,1606
66,3800,6161,1419
67,1507,1500,2819
68,1876,1625,2270
69,7482,2138,3255
70,4525,5420,4461
71,7400,1731,7162
72,2719,2939,3331
73,2082,4442,1801
74,10241,2616,2813
75,3791,2587,10950
76,3229,2734,6180
77,2506,2567,3769
78,2440,2646,2245
79,11675,3484,3281
80,6870,20805,2196
81,2732,2236,6062
82,2930,4617,2865
83,3071,3052,3212
84,3055,3378,6702
85,3124,5564,6308
86,4559,2503,6551
87,4231,7625,3188
88,5293,11585,9225
89,2639,9946,5104
90,4995,4512,3691
91,6946,11742,3726
92,3378,5821,3368
93,3483,3570,11104
94,11158,4335,3603
95,3693,4298,11613
96,15204,6776,5279
97,7746,3844,4809
98,4034,6303,5148
99,4787,15145,12631
100,4518,3574,4251
101,4128,4694,4390
102,3574,3599,3616
103,5984,4097,5088
104,7020,4679,4995
105,18799,7382,5508
106,10826,7642,4575
107,9010,4248,15801
108,9946,6225,3922
109,10024,19801,11750
110,13092,8029,13802
111,18538,5737,7326
112,7186,6223,5262
113,7087,15233,4685
114,7708,4940,11382
115,6813,12481,5992
116,12203,30635,11048
117,7472,19429,5460
118,7785,8771,4850
119,6019,12338,16188
120,5582,4846,5654
121,5334,27278,10642
122,5742,15684,20185
123,9675,14539,13772
124,16189,10023,14211
125,6231,17000,20262
126,8561,12533,10626
127,16018,6647,8707
128,11316,10124,6302
129,18822,13421,21904
130,13285,10193,9512
131,6421,11777,9908
132,12030,14194,8674
133,23795,10375,8763
134,10051,8708,16544
135,25586,6631,6326
136,6400,10145,6399
137,11054,10742,10437
138,9505,9654,16099
139,14025,9132,7409
140,10889,10787,16562
141,12220,15819,8692
142,11293,11763,10220
143,11459,22819,13350
144,24656,28259,13334
145,8140,9408,12858
146,11495,8020,18761
147,18655,12101,14902
148,21247,18267,7601
149,8182,9115,13766
150,22198,12112,9909
151,12901,17745,14407
152,11014,8006,21148
153,13530,8606,23067
154,8908,14776,14014
155,11203,10819,20271
156,8660,16858,9342
157,49325,18496,22792
158,21570,36509,28799
159,52396,18496,12438
160,17371,25908,15701
161,13465,13900,13549
162,39757,9382,12267
163,30158,9165,26064
164,17569,29714,13978
165,27530,22703,20161
166,31771,15046,24593
167,11807,13435,22747
168,12897,10683,17989
169,11538,15497,12868
170,16080,49025,18382
171,14949,41660,25622
172,23759,15422,25052
173,22178,13997,30066
174,25127,16605,14267
175,10897,17233,15431
176,27724,25923,16414
177,22986,15939,10677
178,40424,17817,35073
179,11098,24249,13417
180,17168,33740,36481
181,29067,18688,11789
182,16891,23492,31841
183,15349,27980,18508
184,34297,37242,12125
185,43118,43172,92531
186,33437,38528,26477
187,21799,15178,17893
188,21304,24455,12976
189,12667,26259,28467
190,30105,12479,26305
191,20964,12961,34532
192,15617,14787,26727
193,16022,13246,27139
194,24200,27382,41337
195,17303,21622,27098
196,28273,22080,17598
197,28271,26427,30381
198,27113,50462,17659
199,53093,21283,14157
200,34776,14451,29586
201,34041,34159,31601
202,21333,27759,26348
203,29012,25973,15352
204,46825,20973,21884
205,36919,28369,18996
206,23806,28352,18689
207,57074,48584,33792
208,30612,36869,30231
209,33972,26379,16515
210,15183,26933,31671
211,19514,19808,31792
212,30801,22765,41182
213,44369,22637,56963
214,47773,31112,23397
215,30412,40974,20263
216,49690,23336,21098
217,30965,28949,36312
218,28101,30180,31780
219,38923,28757,39172
220,37643,34390,31082
221,39022,20212,33923
222,35517,17944,45031
223,33556,33588,34773
224,79103,39165,41922
225,34548,18775,28845
226,35334,45488,33021
227,42900,44594,47501
228,60084,29746,29306
229,42253,32221,44525
230,41549,18532,34556
231,28698,27082,22810
232,36945,39505,39816
233,38530,31747,25413
234,34064,33042,35187
235,43352,36275,34887
236,34673,29653,29354
237,23214,31579,38478
238,42126,45246,31551
239,33348,30353,48538
240,44428,38145,32657
241,45305,33883,53167
242,28722,46792,46184
243,22956,37812,48469
244,51748,24631,45746
245,35281,45560,63541
246,21456,39844,34700
247,25086,35909,56813
248,31672,49256,31747
249,33421,38950,45732
250,53189,52796,41148
251,37026,32623,49679
252,36515,28785,49180
253,41549,39358,42161
254,29087,30662,37468
255,60829,40493,41473
