Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,98,40,41
4,301,73,74
5,114,114,114
6,155,154,155
7,202,202,202
8,249,248,249
9,296,295,296
10,340,340,339
11,396,395,397
12,449,450,450
13,504,504,503
14,555,555,554
15,610,609,610
16,663,663,664
17,723,723,722
18,766,768,766
19,839,841,839
20,893,893,895
21,969,969,968
22,1016,1015,1013
23,1082,1083,1083
24,1135,1137,1135
25,1206,1205,1206
26,1252,1251,1252
27,717,713,711
28,742,741,741
29,783,781,781
30,806,804,802
31,836,837,839
32,861,860,861
33,897,894,897
34,917,916,916
35,956,961,959
36,990,993,991
37,1033,1035,1033
38,1058,1060,1059
39,1097,1097,1096
40,1127,1127,1127
41,979,977,981
42,1011,1007,1011
43,1053,1053,1054
44,1081,1076,1077
45,1113,1115,1112
46,1147,1142,1144
47,1184,1181,1182
48,1226,1224,1219
49,1247,1246,1239
50,1256,1253,1250
51,1294,1296,1294
52,1315,1318,1347
53,1354,1351,1352
54,1382,1370,1377
55,1425,1423,1422
56,1464,1467,1467
57,1496,1497,1487
58,1509,1499,1505
59,1551,1549,1541
60,1586,1594,1587
61,1625,1621,1616
62,1633,1632,1636
63,1679,1678,1679
64,1667,1663,1661
65,1685,1688,1685
66,1695,1693,1691
67,1745,1751,1746
68,1780,1783,1778
69,1791,1798,1789
70,1812,1811,1809
71,1844,1845,1836
72,1897,1891,1890
73,1911,1911,1910
74,1916,1917,1915
75,1964,1958,1951
76,1997,1997,2004
77,2024,2017,2020
78,2036,2033,2037
79,2076,2072,2066
80,2097,2101,2096
81,2117,2111,2115
82,2132,2137,2130
83,2183,2168,2188
84,2217,2203,2211
85,2237,2228,2252
86,2256,2255,2254
87,2297,2292,2294
88,2321,2321,2327
89,2339,2337,2340
90,2364,2361,2358
91,2413,2421,2413
92,2459,2473,2471
93,2478,2465,2479
94,2493,2488,2489
95,2534,2527,2527
96,2568,2567,2563
97,2581,2583,2584
98,2595,2591,2591
99,2647,2634,2638
100,2651,2656,2663
101,2679,2686,2679
102,2687,2695,2696
103,2732,2745,2745
104,2759,2759,2762
105,2777,2777,2781
106,2807,2799,2800
107,2860,2857,2860
108,2905,2907,2905
109,2908,2915,2906
110,2938,2932,2926
111,2968,2966,2966
112,2995,2993,2998
113,3013,3001,2994
114,3015,3030,3018
115,3070,3064,3073
116,3123,3117,3117
117,3125,3115,3117
118,3137,3135,3134
119,3173,3167,3166
120,3217,3216,3216
121,3237,3234,3228
122,3228,3232,3234
123,3272,3276,3272
124,3317,3321,3320
125,3325,3334,3324
126,3334,3339,3335
127,3371,3372,3371
128,3391,3393,3397
129,3415,3418,3419
130,3433,3429,3429
131,3487,3481,3483
132,3536,3550,3547
133,3565,3570,3571
134,3578,3575,3579
135,3642,3635,3640
136,3695,3687,3680
137,3712,3707,3714
138,3735,3731,3734
139,3790,3787,3786
