Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,91,45,46
4,53,53,53
5,64,64,64
6,77,77,77
7,91,91,91
8,53,52,52
9,57,56,56
10,60,61,61
11,65,65,66
12,71,71,71
13,81,77,80
14,83,86,84
15,91,92,91
16,99,99,99
17,110,106,107
18,119,117,117
19,125,125,125
20,139,136,136
21,146,147,149
22,158,157,157
23,170,161,169
24,183,183,184
25,202,202,202
26,210,220,210
27,234,234,234
28,254,261,260
29,275,275,276
30,296,296,295
31,322,326,323
32,341,338,342
33,349,364,354
34,381,386,386
35,414,419,419
36,438,448,446
37,464,457,461
38,487,478,487
39,513,513,513
40,538,538,541
41,565,571,565
42,604,602,599
43,627,630,630
44,654,560,575
45,584,616,584
46,642,609,641
47,633,633,634
48,659,659,659
49,686,690,689
50,713,713,714
51,740,740,740
52,773,775,775
53,804,803,803
54,840,841,840
55,870,878,882
56,899,898,899
57,929,929,929
58,960,960,960
59,996,991,992
60,1030,1032,1030
61,1076,1077,1071
62,1119,1125,1120
63,1159,1164,1157
64,1192,1205,1206
65,1240,1238,1245
66,1285,1294,1283
67,1331,1333,1334
68,1354,1351,1367
69,1420,1423,1419
70,1449,1429,1434
71,1481,1474,1480
72,1518,1531,1507
73,1581,1572,1579
74,1612,1619,1612
75,1648,1629,1629
76,1680,1672,1684
77,1731,1742,1740
78,1792,1785,1783
79,1817,1822,1831
80,1858,1945,1867
81,1984,1855,1865
82,1902,1984,1906
83,1975,1953,1954
84,2004,2007,2008
85,2060,2140,2059
86,2096,2101,2094
87,2161,2167,2240
88,2207,2199,2211
89,2258,2255,2256
90,2315,2322,2345
91,2374,2388,2400
92,2439,2425,2425
93,2465,2470,2464
94,2545,2548,2546
95,2577,2569,2568
96,2626,2614,2629
97,2663,2662,2673
98,2725,2727,2730
99,2793,2801,2808
100,2857,2865,2868
101,2939,2941,2946
102,3020,3006,3018
103,3065,3067,3146
104,3146,3139,3154
105,3211,3203,3222
106,3265,3252,3255
107,3315,3323,3322
108,3396,3388,3398
109,3434,3446,3444
110,3525,3536,3531
111,3605,3598,3611
112,3668,3663,3675
113,3731,3710,3724
114,3795,3805,3807
115,3847,3947,3864
116,4039,4038,4038
117,4107,4112,4105
118,4177,4175,4173
119,4235,4242,4252
120,4323,4317,4322
121,4394,4391,4386
122,4480,4472,4493
123,4428,4426,4439
124,4503,4506,4507
125,4575,4581,4578
126,4646,4641,4646
127,4712,4701,4708
128,4795,4791,4787
129,4888,4897,4884
130,4953,4949,4958
131,5017,5032,5032
132,5090,5107,5102
133,5202,5262,5193
134,5267,5276,5254
135,5391,5377,5387
136,5441,5442,5461
137,5527,5502,5491
138,5577,5557,5580
139,5650,5659,5645
140,5743,5743,5738
141,5816,5812,5821
142,5891,5892,5893
143,5965,5980,5964
144,6047,6046,6051
145,6118,6129,6138
146,6211,6208,6214
147,6294,6295,6290
148,6384,6369,6381
149,6465,6466,6474
150,6559,6556,6552
151,6638,6632,6629
152,6718,6706,6717
153,6816,6815,6818
154,6901,6896,6907
155,6980,6980,6983
156,7070,7060,7070
157,7155,7163,7170
158,7250,7253,7257
159,7365,7355,7373
160,7447,7436,7431
161,7529,7525,7518
162,7634,7623,7627
163,7722,7728,7736
164,7840,7829,7846
165,7924,7924,7920
166,8011,8017,8020
167,8104,8087,8114
168,8229,8209,8230
169,8313,8296,8298
170,8418,8413,8421
171,8533,8510,8513
172,8634,8620,8612
173,8728,8707,8719
174,8825,8816,8826
175,8918,8914,8920
176,9009,9018,9014
177,9134,9139,9112
178,9235,9252,9253
179,9339,9336,9331
180,9445,9438,9456
181,9560,9537,9548
182,9655,9640,9634
183,9747,9747,9755
184,9835,9826,9832
185,9940,9939,9927
186,10037,10049,10053
187,10145,10153,10151
188,10261,10268,10276
189,10343,10359,10369
190,10497,10492,10481
191,10578,10581,10574
192,10705,10715,10707
193,10792,10778,10785
194,10917,10916,10906
195,11024,11013,11042
196,11148,11140,11163
197,11254,11248,11241
198,11363,11355,11347
199,11451,11468,11458
200,11584,11590,11578
201,11703,11688,11687
202,11819,11811,11808
203,11912,11925,11928
204,12041,12030,12034
205,12144,12147,12150
206,12277,12260,12253
207,12374,12355,12375
208,12508,12507,12512
209,12623,12612,12623
210,12765,12756,12759
211,12870,12847,12879
212,12972,12987,12991
213,13095,13106,13096
214,13231,13233,13228
215,13346,13321,13343
216,13450,13443,13453
217,13567,13573,13574
218,13689,13701,13704
219,13806,13821,13808
220,13935,13952,13944
221,14055,14063,14071
222,14192,14174,14202
223,14316,14302,14294
224,14439,14445,14435
225,14559,14552,14548
226,14677,14668,14678
227,14816,14800,14813
228,14943,14935,14952
229,15072,15060,15064
230,15204,15188,15190
231,15321,15312,15317
232,15446,15516,15503
233,15647,15581,15594
234,15715,15716,15723
235,15834,15826,15842
236,15975,15983,15982
237,16104,16111,16118
238,16240,16239,16234
239,16352,16375,16376
240,16508,16505,16501
241,16631,16633,16627
242,16781,16756,16768
243,16900,16890,16891
244,17039,17031,17039
245,17168,17174,17166
246,17315,17322,17321
247,17438,17432,17453
248,17584,17580,17588
249,17721,17693,17724
250,17848,17850,17868
251,18005,18012,18008
252,18168,18131,18151
253,18274,18264,18263
254,18408,18402,18399
255,18539,18542,18557
256,18705,18707,18712
257,18840,18840,18839
258,18987,18994,18981
259,19127,19108,19128
260,19271,19292,19265
261,19411,19407,19407
262,19577,19570,19569
263,19716,19711,19721
264,19852,19856,19865
265,19981,19989,19993
266,20129,20144,20144
267,20287,20265,20291
268,20430,20438,20423
269,20584,20586,20578
270,20733,20734,20716
271,20869,20876,20861
272,21029,21024,21026
273,21183,21179,21165
274,21335,21328,21330
275,21459,21457,21480
276,21623,21636,21624
277,21776,21783,21769
278,21932,21951,21937
279,22094,22079,22090
280,22247,22263,22256
281,22398,22392,22401
282,22547,22559,22551
283,22697,22691,22701
284,22887,22873,22889
285,23003,23009,23015
286,23183,23200,23181
287,23340,23328,23330
288,23494,23489,23480
289,23648,23643,23644
290,23807,23800,23821
291,23971,23949,23983
292,24117,24127,24114
293,24284,24284,24289
294,24439,24439,24438
295,24600,24604,24603
296,24755,24780,24755
297,24905,24928,24908
298,25111,25091,25097
299,25256,25258,25244
300,25412,25419,25418
301,25601,25584,25586
302,25745,25730,25746
303,25901,25908,25924
304,26089,26065,26072
305,26244,26240,26232
306,26422,26429,26405
307,26594,26580,26599
308,26752,26748,26758
309,26913,26912,26917
310,27079,27110,27073
311,27264,27255,27246
312,27428,27460,27420
313,27604,27598,27604
314,27771,27770,27769
315,27938,27925,27931
316,28109,28112,28100
317,28297,28260,28293
318,28455,28457,28452
319,28623,28626,28627
320,28781,28801,28820
321,28972,28976,28962
322,29173,29152,29162
323,29324,29314,29328
324,29488,29506,29490
325,29696,29667,29667
326,29869,29866,29863
327,30012,30026,30017
328,30201,30215,30212
329,30380,30380,30396
330,30570,30570,30563
331,30756,30758,30767
332,31744,30963,31758
333,31124,31111,31114
334,31321,31292,31297
335,31496,31459,31477
336,31652,31700,31704
337,31889,31843,31837
338,32045,32022,32038
339,32212,32209,32215
340,32397,32388,32396
341,32571,32584,32571
342,32790,32771,32775
343,32946,32943,32947
344,33131,33119,33134
345,33332,33325,33307
346,33517,33516,33547
347,33692,33691,33691
348,33890,33903,33894
349,34075,34063,34098
350,34260,34278,34248
351,34439,34457,34448
352,34648,34637,34641
353,34837,34845,34830
354,35028,35045,35036
355,35213,35220,35230
356,35416,35413,35423
357,35644,35600,35604
358,35806,35792,35795
359,35990,35985,35975
360,36187,36189,36186
361,36379,36370,36380
362,36568,36576,36567
363,36786,36764,36775
364,36973,36967,36970
365,37159,37160,37169
366,37381,37350,37372
367,37569,37567,37568
368,37768,37793,37776
369,37995,37981,37969
370,38175,38173,38182
371,38359,38349,38360
372,38566,38582,38569
373,38765,38769,38792
374,38992,38976,38972
375,39171,39168,39157
376,39383,39386,39380
377,39575,39567,39577
378,39799,39771,39781
379,39982,39977,39984
380,40182,40193,40193
381,40396,40394,40387
382,40618,40596,40617
383,40819,40814,40818
384,41020,41006,41030
385,41208,41216,41213
386,41438,41414,41436
387,41637,41641,41636
388,41845,41867,41855
389,42071,42052,42082
390,42274,42275,42261
391,42468,42488,42485
392,42709,42690,42685
393,42901,42904,42890
394,43107,43119,43098
395,43317,43322,43319
396,43543,43543,43534
397,43759,43733,43752
398,43968,43963,43960
399,44162,44163,44179
400,44399,44393,44384
401,44611,44609,44612
402,44827,44850,44829
403,45041,45042,45047
404,45269,45272,45263
405,45482,45474,45477
406,45709,45691,45700
407,45907,45912,45925
408,46144,46143,46117
409,46343,46369,46352
410,46591,46592,46574
411,46794,46793,46801
412,47035,47016,47020
413,47243,47230,47223
414,47468,47455,47460
415,47682,47688,47687
416,47921,47912,47890
417,48150,48127,49388
418,48364,48380,48390
419,48582,48589,48585
420,48837,48790,48807
421,49025,49017,49015
422,49267,49265,49262
423,49478,49485,49476
424,49712,49713,49726
425,49940,49942,49955
426,50177,50155,50177
427,50391,50397,50402
428,50635,50630,50636
429,50853,50847,50858
430,51091,51081,51098
431,51313,51332,51327
432,51566,51623,51575
433,51792,51781,51783
434,52019,52008,52018
435,52229,52260,52253
436,52473,52495,52498
437,52726,52722,52709
438,52962,52954,52961
439,53186,53186,53188
440,53430,53434,53422
441,53661,53663,53656
442,53888,53888,53898
443,54126,54128,54125
444,54354,54375,54365
445,54614,54597,54608
446,54854,54840,54854
447,55077,55088,55084
448,55320,55306,55334
449,55555,55557,55551
450,55809,55804,55808
451,56038,56050,56049
452,56293,56280,56299
453,56537,56512,56533
454,56770,56771,56769
455,57015,57003,57019
456,57234,57275,57265
457,57497,57508,57510
458,57756,57750,57744
459,57995,57994,57996
460,58236,58247,58242
461,58505,58491,58483
462,58738,58731,58762
463,58998,58997,58990
464,59247,59234,59236
465,59466,59479,59481
466,59725,59733,59718
467,59972,59970,59976
468,60234,60216,60243
469,60474,60476,60474
470,60729,60718,60723
471,60972,60988,60972
472,61237,61237,61243
473,61488,61486,61492
474,61732,61741,61743
475,61993,61993,61979
476,62260,62224,62221
477,62482,64144,62516
478,64410,62755,62771
479,63024,63009,63017
480,63281,63296,63267
481,63532,63518,63534
482,63784,63786,63773
483,64047,64038,64024
484,64305,64306,64306
485,64578,64537,64558
486,64817,64839,64819
487,65067,65076,65072
488,65336,65340,65332
489,65585,65595,65591
490,65870,65865,65861
491,66114,66117,66132
492,66396,66381,66388
493,66627,66642,66632
494,66913,66922,66906
495,67156,67170,67167
496,67446,67412,67429
497,67696,67689,67697
498,67967,67969,67972
499,68223,68217,68243
500,68488,68495,68499
501,68752,68741,68762
502,69042,69076,69037
