Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,0,0,0
4,300,0,0
5,100,100,100
6,100,100,100
7,200,200,200
8,200,200,200
9,300,300,300
10,300,300,300
11,400,400,400
12,400,400,400
13,500,500,500
14,500,500,500
15,500,500,500
16,500,500,500
17,600,600,600
18,600,600,600
19,700,700,700
20,700,700,700
21,800,800,800
22,800,800,800
23,800,800,800
24,900,800,900
25,900,900,900
26,900,900,900
27,900,900,900
28,1000,1000,1000
29,1000,1000,1000
30,1100,1100,1100
31,1200,1100,1200
32,1200,1200,1200
33,1200,1200,1200
34,1200,1200,1200
35,1200,1200,1200
36,1300,1200,1300
37,1300,1300,1300
38,1400,1400,1400
39,1400,1400,1400
40,1500,1500,1500
41,1400,1500,1400
42,1500,1600,1600
43,1600,1600,1600
44,1700,1700,1700
45,1700,1700,1800
46,1700,1600,1600
47,1700,1800,1800
48,1800,1800,1800
49,1900,1800,1900
50,1900,1800,1800
51,2000,2000,2000
52,2000,1900,1900
53,1900,1900,2000
54,2000,2100,2000
55,2200,2000,2200
56,2100,2100,2100
57,2100,2100,2100
58,2300,2300,2300
59,2300,2300,2400
60,2200,2300,2200
61,2400,2400,2400
62,2500,2500,2500
63,2500,2500,2600
64,2600,2600,2600
65,2600,2700,2700
66,2700,2700,2700
67,2800,2700,2700
68,2700,2800,2700
69,2900,2700,2800
70,4200,2800,2800
71,2900,2900,2900
72,2800,2700,2800
73,2800,2800,2800
74,2800,3000,3000
75,3100,3100,3100
76,2900,2900,2900
77,3100,3100,3100
78,3100,3100,3100
79,3200,3200,3200
80,3200,3200,3200
81,3400,3400,3400
82,3500,3500,3500
83,3500,3300,3300
84,3400,3600,3600
85,3400,3400,3400
86,3400,3400,3400
87,3500,3500,3500
88,3500,3500,3500
89,3600,4800,3600
90,4800,4800,4800
91,4900,5500,4900
92,5500,5400,5400
93,5200,5400,5300
94,5400,5400,5400
95,5500,5500,5400
96,5500,5100,5300
97,3900,3900,3900
98,3900,3900,3900
99,3900,3900,3900
100,4000,4000,4000
101,4000,4000,4000
102,4000,4000,4000
103,4100,4100,4100
104,4100,4100,4100
105,4200,4200,4200
106,4200,4200,4200
107,4200,4200,4200
108,4300,4300,4300
109,4300,4400,4600
110,4600,4400,4400
111,4400,4400,4400
112,4400,4400,4400
113,4500,4500,4500
114,4500,4500,4500
115,4600,4600,4600
116,4600,4600,4600
117,4600,4600,4600
118,4700,4600,4700
119,4700,4700,4700
120,4800,4700,4700
121,4800,4800,4800
122,4800,4800,4800
123,4800,4900,4900
124,4900,4900,4900
125,4900,4900,4900
126,5000,5300,5300
127,5300,5000,5000
128,5100,5100,5400
129,5100,5100,5100
130,5100,5100,5400
131,5200,5200,5200
132,5600,5600,5600
133,5300,5600,5300
134,5600,5600,5600
135,5400,5400,5400
136,5800,5500,5800
137,5500,5800,5800
138,5800,5500,5500
139,5500,5900,5900
140,6000,5600,5600
141,5600,5600,6000
142,5700,5700,5700
143,5700,5700,5700
144,5800,5800,5800
145,5800,5800,5800
146,5900,5800,5900
147,5900,5900,5900
148,6000,6300,6000
149,6000,6400,6000
150,6100,6000,6400
151,6100,6100,6100
152,6200,6200,6200
153,6200,6200,6200
154,6200,6600,6200
155,6300,6300,6300
156,6700,6700,6700
157,6400,6400,6400
158,6800,6400,6400
159,6500,6500,6500
160,6500,6500,6500
161,6500,6500,6500
162,6600,6600,6600
163,6600,6600,6600
164,6700,7100,6700
165,6700,6700,6700
166,6800,6800,6800
167,7200,6800,6900
168,7300,6900,6900
169,6900,6900,6900
170,7400,6900,7000
171,7000,7000,7000
172,7100,7500,7500
173,7500,7500,7500
174,7600,7600,7600
175,7200,7600,7200
176,7700,7200,7200
177,7300,7300,7300
178,7300,7300,7300
179,7400,7800,7400
180,7900,7400,7900
181,7500,7500,7500
182,7500,8200,8000
183,8000,7600,7600
184,7600,8100,7600
185,8100,7600,7700
186,7700,7700,7700
187,7700,7700,7700
188,7800,7800,7800
189,7800,7800,7800
190,7800,7800,7800
191,7900,7900,7900
192,8400,8000,8400
193,8000,8000,8000
194,8000,8000,8500
195,8100,8600,8600
196,8200,8200,8200
197,8700,8700,8200
198,8200,8200,8200
199,8300,8200,8300
200,8300,8300,8400
201,8400,8300,8400
202,8400,8400,8400
203,8500,8500,8400
204,8500,8500,8500
205,8500,8600,8500
206,8600,8600,8600
207,8600,8600,8600
208,8700,8700,8700
209,8700,8700,9200
210,9300,9300,9300
211,8800,9300,9400
212,8900,8900,8900
213,8900,8900,9000
214,8900,8900,8900
215,9000,9000,9000
216,9100,9100,9100
217,9700,9600,9600
218,9700,9700,9600
219,9200,9700,9200
220,9300,9800,9800
221,9800,9300,9800
222,9300,9300,9300
223,9300,9400,9400
224,9400,9400,9400
225,9500,9400,9500
226,9500,9500,9500
227,9500,9500,9500
228,9600,9600,9700
229,9600,9600,9600
230,9600,10200,9700
231,10400,9700,9700
232,9800,10400,9800
233,10400,9800,9800
234,9800,9800,9800
235,9900,10500,10500
236,10000,10600,10000
237,10600,10000,10000
238,10000,10600,10600
239,10100,10100,10100
240,10100,10100,10800
241,10800,10800,10800
242,10800,10800,10800
243,10900,11000,10900
244,11000,11000,11000
245,11100,10400,11100
246,10500,10400,10400
247,10500,10500,10500
248,10600,10600,10600
249,10600,10600,10600
250,10600,10600,10600
251,10600,10600,10600
252,10700,10700,10700
253,10700,10700,10800
254,10700,11400,10800
255,10800,11500,10800
256,10900,11500,10800
257,10900,10900,10900
258,10900,10900,10900
259,11000,11000,11700
260,11100,11100,11100
261,11100,11100,11100
262,11100,11100,11100
263,11900,11900,11900
264,12000,12000,12000
265,12000,11300,12100
266,12000,12000,12000
267,12100,12100,12100
268,12200,12200,12200
269,12200,12200,12200
270,12200,12200,12200
271,12300,12300,12300
272,12300,12400,12300
273,12400,11700,11700
274,12400,12400,11700
275,12500,12500,11800
276,12600,11800,11800
277,11800,11900,12000
278,11900,11900,11900
279,11900,11900,12000
280,12000,12700,12800
281,12100,12100,12800
282,12100,12100,12100
283,12100,12100,12100
284,12200,12200,12900
285,13000,12200,12400
286,12300,12300,12300
287,12300,12300,12300
288,12300,12400,12400
289,12400,12400,12400
290,12400,12400,12400
291,13200,13300,13200
292,13300,12600,13300
293,12600,13300,12600
294,13400,12600,13400
295,12700,12700,12700
296,12800,12900,13500
297,12800,13600,12800
298,13600,13600,13600
299,13700,13700,13700
300,12900,12900,12900
301,13000,13000,12900
302,13800,13000,13000
303,13300,13000,13800
304,13900,13100,13100
305,13900,13100,13100
306,13100,13200,14000
307,13300,14000,14000
308,13300,13300,13300
309,13300,14100,14100
310,14100,13400,13300
311,14200,13400,13400
312,13500,13500,14300
313,13600,13500,13600
314,14300,14400,14400
315,14400,13600,14400
316,13700,13600,13600
317,13700,14500,13700
318,13700,13700,13700
319,13800,13700,14600
320,14700,13800,14700
321,13800,13800,14700
322,13800,13800,13800
323,13900,13900,13900
324,14000,14900,14000
325,15100,14000,14000
326,14200,14000,14100
327,14100,15000,14100
328,15100,15100,14200
329,14300,14200,14200
330,15100,14200,14200
331,15200,14300,14300
332,15200,14400,15200
333,14400,14400,14400
334,14400,15300,14400
335,15300,14400,14500
336,14500,14600,14500
337,15400,14500,14500
338,14500,15400,14500
339,14700,14600,14700
340,14700,14700,14700
341,14700,14700,14700
342,14700,15600,14800
343,14800,14800,14800
344,14900,15800,14900
345,14900,15800,15800
346,15800,15200,14900
347,15000,15000,15000
348,15000,15100,16000
349,15100,15100,15100
350,15100,16000,15200
351,15100,15200,15100
352,15200,15200,15200
353,15200,15200,15200
354,15200,15200,16100
355,15300,15500,15300
356,15400,16300,16300
357,15600,16300,16300
358,15400,16300,15400
359,15500,15500,15500
360,15600,15600,15600
361,15600,15500,15600
362,15600,15600,15600
363,15700,15600,15700
364,15700,15700,15700
365,15700,16700,16700
366,15700,15700,15700
367,15800,15800,15800
368,15800,15900,15800
