Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,100,100,100
16,100,100,100
17,100,100,100
18,100,100,100
19,100,100,100
20,100,100,100
21,100,100,100
22,100,100,100
23,200,100,100
24,200,100,200
25,200,200,200
26,200,200,200
27,200,200,200
28,200,200,200
29,300,300,300
30,300,300,300
31,300,300,300
32,300,300,300
33,400,400,300
34,400,400,400
35,400,400,400
36,400,500,500
37,500,500,500
38,500,500,500
39,500,600,500
40,600,600,600
41,400,500,500
42,600,600,600
43,600,600,600
44,600,600,600
45,700,700,700
46,700,700,700
47,700,700,700
48,700,700,700
49,700,700,700
50,800,800,800
51,800,800,800
52,800,800,800
53,900,900,900
54,900,1000,1000
55,1000,1000,1000
56,1000,1000,1000
57,1100,1100,1100
58,1100,1100,1100
59,1200,1100,1100
60,1100,1100,1100
61,1200,1200,1200
62,1200,1200,1200
63,1300,1300,1300
64,1300,1300,1300
65,1400,1400,1400
66,1400,1400,1400
67,1500,1500,1500
68,1500,1500,1500
69,1600,1600,1600
70,1600,1600,1600
71,1700,1700,1700
72,1700,1700,1700
73,1800,1800,1800
74,1800,1800,1800
75,1800,1900,1800
76,1900,1900,1900
77,2000,1900,2000
78,2000,2000,2000
79,2000,2000,2000
80,2100,2100,2100
81,2100,2100,2100
82,2200,2200,2200
83,2200,2300,2300
84,2300,2300,2300
85,2400,2400,2400
86,2400,2400,2400
87,2500,2500,2500
88,2600,2600,2600
89,2800,2800,2800
90,2700,2900,2900
91,2900,2800,2800
92,2800,2800,2800
93,2900,2900,2900
94,3000,3000,2900
95,3000,3000,3000
96,3300,3300,3300
97,3100,3100,3100
98,3200,3200,3200
99,3300,3300,3300
100,3600,3400,3400
101,3400,3400,3600
102,3500,3500,3500
103,3600,3600,3600
104,3600,3900,3600
105,3900,3900,3900
106,3800,3800,3800
107,3900,3800,3800
108,3900,3900,3900
109,4000,4000,4000
110,4400,4300,4100
111,4400,4400,4400
112,4200,4200,4200
113,4300,4300,4300
114,4400,4400,4400
115,4500,4500,4500
116,4600,4900,4600
117,4600,4600,4600
118,4700,4700,4700
119,4800,4800,4800
120,4900,4900,4900
121,5000,5000,5000
122,5000,5100,5100
123,5100,5100,5100
124,5200,5200,5200
125,5300,5300,5300
126,5400,5400,5400
127,5500,5800,6000
128,5900,5900,5900
129,6000,6000,6000
130,6100,5700,5800
131,5800,5800,5800
132,5900,5900,5900
133,6400,6000,6000
134,6200,6100,6100
135,6200,6200,6200
136,6300,6700,6300
137,6800,6800,6800
138,6900,6900,6900
139,6600,6600,6600
140,6700,6700,6700
141,6800,6800,6800
142,6900,6800,6900
143,7000,7000,6900
144,7100,7100,7100
145,7100,7100,7100
146,7200,7200,7200
147,7400,7400,7400
148,7400,7400,7400
149,7500,7500,7600
150,7700,7600,7700
151,7700,7800,7800
152,7800,7800,7800
153,7900,8000,8400
154,8100,8100,8100
155,8700,8700,8700
156,8800,8300,8300
157,8400,8400,8400
158,8500,8500,8500
159,8600,9100,9100
160,9200,8700,8700
161,8800,9400,8900
162,9000,8900,9000
163,9000,9100,9000
164,9200,9200,9200
165,9800,9300,9300
166,9400,9400,9400
167,9500,9500,9500
168,10200,10200,10200
169,10300,9700,9700
170,9800,9800,9800
171,9900,9900,9900
172,10000,10100,10700
173,10200,10100,10200
174,10300,10900,10300
175,11000,11000,11000
176,11100,10500,10500
177,10600,10600,10600
178,10800,10700,10700
179,10900,10900,10900
180,11000,11000,11000
181,11100,11100,11100
182,11200,11900,11300
183,12000,11300,11300
184,11500,11400,11500
185,11600,11600,12300
186,11700,11700,11700
187,11800,11800,11800
188,11900,12700,12700
189,12100,12100,12100
190,13000,12300,13000
191,12400,12400,12400
192,12500,12500,12500
193,12600,12600,12600
194,12700,12700,12700
195,12900,12900,12900
196,13000,13000,13000
197,13100,13100,13100
198,13300,13300,13300
199,13400,13400,13400
200,13500,13500,13500
201,13600,13600,13700
202,13800,13700,13800
203,13900,14800,14800
204,14900,14000,14100
205,14200,14200,14200
206,14300,14300,14300
207,14400,14400,14500
208,14600,14600,14600
209,14700,15700,14700
210,14900,15800,14900
211,15000,15000,15000
212,15100,15100,15100
213,15300,15400,15300
214,15500,15500,15500
215,15600,15600,15600
216,16600,15700,15700
217,15900,15900,15900
218,16000,16000,16000
219,16200,17100,16200
220,16200,16300,16300
221,16400,16400,16400
222,16500,16500,16500
223,16700,16700,16700
224,16800,16800,16800
225,17000,17000,17000
226,17100,17200,17100
227,17400,18400,17400
228,17500,17500,17500
229,17700,17600,17600
230,17800,17800,18800
231,17900,17900,17900
232,18000,18000,18100
233,18200,19300,18200
234,18400,18400,18300
235,18500,18500,18500
236,18700,18700,18700
237,18800,18800,18800
238,19000,19000,20100
239,19100,19100,19100
240,19300,19300,19300
241,19400,19400,19500
242,19600,19600,19600
243,19800,19800,19800
244,20000,20000,20000
245,20100,20200,20100
246,20300,20300,20300
247,20400,20500,20400
248,20600,20600,20600
249,20800,22000,20800
250,22200,20900,20900
251,21100,21100,21100
252,21200,21200,21200
253,21400,22700,21400
254,21600,21600,21600
255,21800,21800,21800
256,21900,21900,21900
257,22100,22100,22200
258,22300,22300,22300
259,22400,22500,22500
260,23900,22600,22600
261,22700,22700,22700
262,24300,22900,22900
263,23100,23100,23100
264,23200,23300,23300
265,23500,23400,23500
266,23600,23600,23600
267,23800,23800,23800
268,24000,24000,24000
269,24200,24200,24200
270,24300,24300,24300
271,24500,24500,24500
272,24700,24700,24700
273,24800,24800,24800
274,25000,25000,25000
275,25200,25200,25200
276,25300,25300,25300
277,25500,25500,25500
278,25700,25800,25700
279,25900,25900,25900
280,26000,26100,26100
281,26300,26300,26300
282,26400,26500,26400
283,26700,26700,26700
284,26800,26800,26900
285,27100,27000,27000
286,27200,27200,27200
287,27400,27400,27400
288,27500,27500,27600
289,27700,27800,27800
290,27900,27900,27900
291,28100,28100,28100
292,28300,28300,28300
293,28500,28600,28500
294,28800,28800,28700
295,28900,28900,28900
296,29100,29100,29100
297,29300,29300,29300
298,29400,29500,29500
299,29700,29600,29600
300,29800,29900,29900
301,30000,30000,30000
302,30200,30200,30200
303,30400,30500,30400
304,30600,30700,30600
305,30800,30800,30800
306,32900,31100,31100
307,31300,31300,31300
308,31500,31500,31500
309,33600,31800,31700
310,31900,31900,31900
311,32100,32100,32100
312,32300,32300,32300
313,32500,32400,32400
314,32600,34600,32700
315,32800,32900,33000
316,33100,33100,35100
317,33300,33300,35200
318,33500,33500,33500
319,33700,33700,33700
320,33900,33800,33900
321,34000,34100,34000
322,34200,36300,34300
323,34800,36600,34600
324,36900,34700,34700
325,37100,37100,37100
326,38500,39600,39600
327,35400,37500,35400
328,37700,35600,37700
329,38000,35800,38000
330,35900,36000,35900
331,38400,38400,38400
332,38600,38600,38600
333,38900,38800,38800
334,39100,39000,39000
335,39300,39300,39300
336,37300,39500,39500
337,39800,39700,39700
338,37700,40000,40000
339,40200,40200,40200
340,38200,38100,40500
341,40600,38400,38300
342,38500,38500,38500
343,38700,38800,38700
344,39000,39000,39100
345,39200,39200,39200
346,39400,39400,39400
347,39600,39700,39700
348,39900,42300,39900
349,42600,42500,42500
350,42800,40400,40400
351,40600,40700,40600
352,40800,40800,40800
353,41000,43600,41100
354,43800,43800,43700
355,41500,41500,41500
356,41700,41800,41800
357,42000,41900,41900
358,42200,42200,42100
359,42400,45000,42400
360,45200,42600,42700
361,42900,42900,42800
362,43200,43100,43100
363,43400,43300,43400
364,43500,43500,43600
365,43800,44000,43800
366,44100,44000,44000
367,47000,47000,46900
368,44600,44500,44600
369,44800,44800,44700
370,45000,47700,45000
371,48000,45300,48100
372,45500,45500,45500
373,45700,45700,45700
374,48800,45900,48700
375,46200,46300,46300
376,46400,46400,46400
377,46700,49500,46800
378,47000,47000,46900
379,47200,47200,47200
380,47400,47400,47400
381,47700,50500,50500
382,50800,47900,47900
383,48200,48200,48200
384,48400,51400,51300
385,51600,48600,48600
386,49000,51900,49000
387,52100,52200,52100
388,52400,54000,54000
389,54300,54300,54300
390,52900,53000,53000
391,53300,50300,50200
392,53500,53500,53500
393,53700,53700,53700
394,54000,54000,54000
395,54200,54300,54300
396,54500,54500,54500
397,54700,54800,54900
398,55100,55100,55100
399,55300,55400,55300
400,55600,55600,55600
401,55900,55900,55900
402,56200,56200,56200
403,56500,56400,56500
404,56800,56700,56700
405,57000,56900,57000
406,57300,57200,57300
407,57500,57600,57500
408,57800,57800,57800
409,58100,58100,58100
410,58400,58300,58400
411,58700,60500,58700
412,60800,59000,59000
413,59200,55800,56000
414,56100,56100,56100
415,56300,56300,56400
416,56600,56600,56600
417,56900,56800,56900
418,57200,57200,57200
419,57400,57400,57400
420,57700,57700,57700
421,58000,58000,58000
422,58300,58300,58300
423,58600,58500,58400
424,58800,58800,58800
425,59100,59100,59100
426,59300,59300,59300
427,59600,59600,59600
428,59900,59900,59900
429,60100,60100,60100
430,60400,60400,60400
431,60700,60700,60700
432,64700,64700,64700
433,64900,61300,61300
434,61600,61600,61600
435,61900,61900,61800
436,62100,62200,62100
437,62400,62300,62400
438,62600,62700,62800
439,62900,63000,62900
440,63300,63200,63300
441,63500,63500,63400
442,63800,63700,63800
443,64000,64000,64000
444,64300,64300,64300
445,64700,64600,64600
446,64900,64900,64900
447,65200,65200,65200
448,65500,65500,65500
449,65800,65700,65700
450,66000,66000,66100
451,66300,66300,66300
452,66600,66600,66600
453,66900,66900,66800
454,67200,67200,67100
455,67500,67400,67500
456,67700,67800,67800
457,68000,68000,68000
458,68300,68300,68300
459,68600,68700,68600
460,68900,68900,68900
461,69200,69200,69200
462,69500,69500,69500
463,69800,69800,69800
464,70100,70100,70100
465,70400,70400,70400
466,70700,70700,70700
467,71000,71000,71100
468,71300,71300,71300
469,71600,71600,71600
470,71900,72000,72000
471,72200,72300,72200
472,72500,72600,72600
473,72800,72900,72900
474,73100,73200,73200
475,73500,73500,73400
476,73700,73800,73800
477,74100,74000,74100
478,74300,78800,74300
479,81600,74700,79200
480,74900,74900,74900
481,75200,75200,75200
482,75500,75500,75500
483,75900,76000,75900
484,76100,76100,76200
485,76400,76400,76500
486,76700,76800,76700
487,77100,77100,77100
488,77400,77400,77400
489,77700,77600,77600
490,78000,78000,78000
491,78300,78400,78400
492,78700,78700,78700
493,78900,79000,78900
494,79300,79300,79300
495,79500,79600,79600
496,79900,79900,79900
497,80200,80200,80200
498,80500,80500,80600
499,80900,80800,80900
500,81100,81100,81200
501,81500,81600,81500
502,81800,81800,81800
